,rank
411-Symbole,0
431-Symbole,1
11-Symbole,2
420-Symbole,3
406-Symbole,4
920-Symbole,5
12-Symbole,6
432-Symbole,7
405-Symbole,8
930-Symbole,9
400-Symbole,10
929-Symbole,11
408-Symbole,12
417-Symbole,13
9-Symbole,14
404-Symbole,15
8-Symbole,16
10-Symbole,17
414-Symbole,18
22-Symbole,19
410-Symbole,20
401-Symbole,21
398-Symbole,22
427-Symbole,23
21-Symbole,24
407-Symbole,25
399-Symbole,26
402-Symbole,27
416-Symbole,28
436-Symbole,29
17-Symbole,30
940-Symbole,31
938-Symbole,32
15-Symbole,33
435-Symbole,34
932-Symbole,35
937-Symbole,36
20-Symbole,37
423-Symbole,38
912-Symbole,39
923-Symbole,40
911-Symbole,41
433-Symbole,42
6-Symbole,43
409-Symbole,44
933-Symbole,45
7-Symbole,46
922-Symbole,47
914-Symbole,48
421-Symbole,49
426-Symbole,50
415-Symbole,51
927-Symbole,52
440-Symbole,53
412-Symbole,54
403-Symbole,55
4-Symbole,56
916-Symbole,57
16-Symbole,58
3-Symbole,59
915-Symbole,60
943-Symbole,61
931-Symbole,62
425-Symbole,63
441-Symbole,64
919-Symbole,65
430-Symbole,66
939-Symbole,67
926-Symbole,68
397-Symbole,69
429-Symbole,70
14-Symbole,71
443-Symbole,72
419-Symbole,73
928-Symbole,74
428-Symbole,75
924-Symbole,76
918-Symbole,77
418-Symbole,78
917-Symbole,79
438-Symbole,80
925-Symbole,81
437-Symbole,82
5-Symbole,83
23-Symbole,84
935-Symbole,85
941-Symbole,86
942-Symbole,87
944-Symbole,88
1-Symbole,89
2-Symbole,90
13-Symbole,91
18-Symbole,92
19-Symbole,93
413-Symbole,94
422-Symbole,95
424-Symbole,96
434-Symbole,97
439-Symbole,98
442-Symbole,99
910-Symbole,100
913-Symbole,101
921-Symbole,102
934-Symbole,103
936-Symbole,104
