,rank
929-Symbole,0
920-Symbole,1
429-Symbole,2
937-Symbole,3
421-Symbole,4
22-Symbole,5
939-Symbole,6
21-Symbole,7
931-Symbole,8
399-Symbole,9
941-Symbole,10
414-Symbole,11
927-Symbole,12
938-Symbole,13
943-Symbole,14
435-Symbole,15
438-Symbole,16
408-Symbole,17
409-Symbole,18
427-Symbole,19
443-Symbole,20
406-Symbole,21
921-Symbole,22
932-Symbole,23
940-Symbole,24
910-Symbole,25
428-Symbole,26
5-Symbole,27
916-Symbole,28
398-Symbole,29
11-Symbole,30
930-Symbole,31
919-Symbole,32
411-Symbole,33
913-Symbole,34
928-Symbole,35
425-Symbole,36
915-Symbole,37
401-Symbole,38
407-Symbole,39
12-Symbole,40
433-Symbole,41
924-Symbole,42
420-Symbole,43
923-Symbole,44
942-Symbole,45
926-Symbole,46
405-Symbole,47
935-Symbole,48
8-Symbole,49
415-Symbole,50
6-Symbole,51
423-Symbole,52
1-Symbole,53
403-Symbole,54
19-Symbole,55
417-Symbole,56
23-Symbole,57
437-Symbole,58
944-Symbole,59
416-Symbole,60
424-Symbole,61
412-Symbole,62
419-Symbole,63
17-Symbole,64
922-Symbole,65
911-Symbole,66
925-Symbole,67
439-Symbole,68
912-Symbole,69
422-Symbole,70
436-Symbole,71
432-Symbole,72
426-Symbole,73
431-Symbole,74
418-Symbole,75
410-Symbole,76
15-Symbole,77
917-Symbole,78
3-Symbole,79
400-Symbole,80
440-Symbole,81
16-Symbole,82
13-Symbole,83
14-Symbole,84
2-Symbole,85
7-Symbole,86
914-Symbole,87
918-Symbole,88
430-Symbole,89
9-Symbole,90
397-Symbole,91
434-Symbole,92
404-Symbole,93
20-Symbole,94
4-Symbole,95
936-Symbole,96
933-Symbole,97
442-Symbole,98
413-Symbole,99
441-Symbole,100
934-Symbole,101
402-Symbole,102
18-Symbole,103
10-Symbole,104
