,n,mythe,symbole,homme
0,1,1.0,1.0,0.0
1,2,1.0,1.0,0.5
2,3,1.0,1.0,0.3333333333333333
3,4,1.0,1.0,0.25
4,5,0.8,0.8,0.4
5,6,0.8333333333333334,0.8333333333333334,0.3333333333333333
6,7,0.8571428571428571,0.8571428571428571,0.42857142857142855
7,8,0.875,0.875,0.375
8,9,0.8888888888888888,0.8888888888888888,0.4444444444444444
9,10,0.8,0.9,0.4
10,11,0.8181818181818182,0.9090909090909091,0.36363636363636365
11,12,0.75,0.8333333333333334,0.3333333333333333
12,13,0.7692307692307693,0.8461538461538461,0.38461538461538464
13,14,0.7142857142857143,0.7857142857142857,0.35714285714285715
14,15,0.7333333333333333,0.8,0.3333333333333333
15,16,0.75,0.8125,0.3125
16,17,0.7647058823529411,0.8235294117647058,0.29411764705882354
17,18,0.7222222222222222,0.8333333333333334,0.2777777777777778
18,19,0.7368421052631579,0.7894736842105263,0.2631578947368421
19,20,0.7,0.75,0.3
