,rank
920-Symbole,0
929-Symbole,1
943-Symbole,2
429-Symbole,3
406-Symbole,4
400-Symbole,5
930-Symbole,6
420-Symbole,7
931-Symbole,8
939-Symbole,9
919-Symbole,10
411-Symbole,11
937-Symbole,12
399-Symbole,13
925-Symbole,14
436-Symbole,15
941-Symbole,16
932-Symbole,17
923-Symbole,18
421-Symbole,19
23-Symbole,20
914-Symbole,21
397-Symbole,22
921-Symbole,23
915-Symbole,24
412-Symbole,25
942-Symbole,26
927-Symbole,27
407-Symbole,28
401-Symbole,29
403-Symbole,30
408-Symbole,31
911-Symbole,32
21-Symbole,33
422-Symbole,34
22-Symbole,35
404-Symbole,36
913-Symbole,37
935-Symbole,38
415-Symbole,39
417-Symbole,40
17-Symbole,41
940-Symbole,42
938-Symbole,43
432-Symbole,44
9-Symbole,45
12-Symbole,46
11-Symbole,47
922-Symbole,48
409-Symbole,49
916-Symbole,50
926-Symbole,51
416-Symbole,52
912-Symbole,53
414-Symbole,54
428-Symbole,55
398-Symbole,56
424-Symbole,57
405-Symbole,58
14-Symbole,59
443-Symbole,60
425-Symbole,61
438-Symbole,62
944-Symbole,63
437-Symbole,64
917-Symbole,65
3-Symbole,66
20-Symbole,67
910-Symbole,68
5-Symbole,69
434-Symbole,70
435-Symbole,71
402-Symbole,72
6-Symbole,73
13-Symbole,74
423-Symbole,75
928-Symbole,76
431-Symbole,77
19-Symbole,78
441-Symbole,79
933-Symbole,80
427-Symbole,81
418-Symbole,82
426-Symbole,83
924-Symbole,84
440-Symbole,85
18-Symbole,86
4-Symbole,87
442-Symbole,88
7-Symbole,89
2-Symbole,90
439-Symbole,91
10-Symbole,92
15-Symbole,93
410-Symbole,94
16-Symbole,95
433-Symbole,96
918-Symbole,97
430-Symbole,98
419-Symbole,99
8-Symbole,100
934-Symbole,101
936-Symbole,102
413-Symbole,103
1-Symbole,104
