0|start .
1|© édition du seuil , mars 1990 , à le exception un langu anglo-saxon .
2|le code de le propriété intellectuel interdire le copie ou reproduction destiner à un utilisation collectif . tout représentation ou reproduction intégral ou partiel faire par quelque procédé que ce être , sans le consentement de le auteur ou de son ayant cause , être illicite et constituer un contrefaçon sanctionner par le article L. 335 - 2 et suivant du code de le propriété intellectuel .
3|mon premier remerciement aller à le université de Edimbourg dan le personne de son Chancelier qui se avoir conférer le honneur de prononcer en 1986 le Gifford lectur sou le titre on se Ijhood , the ( question of Personal Identity . ce être de ce conférence que être issu le étude ici publier .
4|il exprimer également mon gratitude au professeur spa - mann de runiversité de Munich , qui se avoir permettre de donner , le même année , un second version un conférence initial dan le cadre un Schellmy Vorlesungen .
5|il remercier en outre le professeur Bianco de le université de Rome « le Sapienza » , qui se avoir offrir le occasion de développer le partie éthique de mon ouvrage , dan le cadre de renseignement que il se avoir confier en 1987 .
6|il être reconnaître à mon ami Jean Greisch et Richard Keamey de se avoir permettre de esquisser le considération ontologique sur lequel si achever mon travail , dan le cadre de le « décade de Cerisy » que il avoir organiser et présider durer le été 1988 .
7|enfin , il vouloir dire à François Wahl , un edition du seuil , mon profond gratitude pour le aide que il se avoir apporter dan le composition et le rédaction de ce livre . ce dernier , comme mon précédent travail éditer par luire , être redevable , au-delà de ce que il pouvoir exprimer , à son esprit de rigueur et à son dévouement à le écriture .
8|Par le titre soi-mêm comme un autre , il avoir vouloir désigner le point de convergence entrer le trois intention philosophique majeur qui avoir présider à le élaboration un étude qui composer ce ouvrage .
9|le premier intention être de marquer le primat de le médiation réflexif sur le position immédiat du sujet , tel que lui si exprimer à le premier personne du singulier : « il penser » , « il être » . ce premier intention trouver un appui dan le grammaire un langu naturel lorsque celui-ci permettre de opposer « soi » à « il » . ce appui prendre un forme différenter selon le particularité grammatical propre à chaque langue . au-delà de le corrélation global entrer le français soi , le anglais self , le allemand Selbsl , le italien se , le espagnol simismo , le grammaire diverger . Mais ce divergence même être instructif , dan le mesure où chaque particularité grammatical éclairer un partie du sens fondamental rechercher . En ce qui concerner le français , « soi » être définir de emblée comme pronom réfléchir . d être vrai que le usage philosophique qui en être faire tout au long de ce étude enfreindre un restriction que le grammairien souligner , à savoir que « soi » être un pronom réfléchir de le troisième personne ( il , lui , lui ) . ce restriction toutefois être lever , si on rapprocher le terme « soi » du terme « se » , lui-même rapporter à un verbe au mode infinitif- on dire : « se présenter » , « se nommer » . ce usage , pour nous exemplaire , vérifier un un enseignement du linguist G. Guillaume ' , selon lequel ce être à le infinitif , et encore jusque à un certain point au participe , que le verbe exprim le plénitude de son signification , avant de se distribuer entrer le temps verbal et le personne grammatical ; le « se » désigner alors le réfléchir de tou le pronom personnel , et même de pronom impersonnel , tel que « chacun » , « quiconqu » , « on » , auxquel il être faire fréquemment allusion au cours de notre investigation . ce détourpar le « se » ne être pas vain , dan le mesure où le pronom réfléchir « soi » accéder luire aussi à le même amplitude omnitemporell quand il compléter le « se » associer au mode infinitif : « se désigner soi-même » ( il laisser provisoirement de côté le signification attacher au « même » dan le expression « soi-même » ) . ce être sur ce dernier usage - relever sans conteste du « bon usage » de le langue français ! - que prendre appui notre emploi constant du terme « soi » , en contexte philosophique , comme pronom réfléchir de tout le personne grammatical , sans oublier le expression impersonnel cité un peu plus haut . ce être , à son tour , ce valeur de réfléchir omnipersonnel qui être préserver dan le emploi du « soi » dan le fonction de complément de nom : « le souci de soi » - selon le titre magnifique de Michel Foucault . ce tournure ne avoir rien de étonnant , dan le mesure où le nom qui admettre le « soi » à un cas indirect être eux-mêmes un infinitif nominaliser , comme le attester le équivalence un deux expression : « se soucier de soi(-même ) » et « le souci de soi » . le glissement de un expression à le autre se recommander de le permission grammatical selon lequel ne importer quel élément du langage pouvoir être nominaliser : ne dire - on pas « le boire » , « le beau » , « le bel aujourd'huie » ? ce être en vertu de le même permission grammatical que le on pouvoir dire « le soi » , aligner ainsi ce expression sur le forme également nominaliser un pronom personnel dan le position de sujet grammatical : « le il » , « le tu » , « le nous » , etc. ce nominalisation , moins tolérer en français que en allemand ou en anglais , ne devenir abusif que si le on oublier le filiation grammatical à partir du cas indirect consigner dan le expression « désignation de soi » , lui-même dériver par premier nominalisation de le infinitif réfléchir : « se désigner soi-même » . ce être ce forme que nous tenir désormais pour canonique . le second intention philosophique , implicitement inscrit dan le titre du présent ouvrage par le biais du terme « même » , être de dissocier deux signification majeur de le identité ( dont on aller dire dan un moment le rapport avec le terme « même » ) , selon que le on entendre par identique le équivalent de Y idem ou de Vipse latin . le équivocité du terme « identique » être au cœur de notre réflexion sur le identité personnel et le identité narratif , en rapport avec un caractère majeur du soi , à savoir son temporalité . le identité , au sens de idem , déployer lui-même un hiérarchie de signification que nous expliciter le moment venir ( cinquième et sixième étude ) , et dont le permanence dan le temps constituer le degré le plus élevé , à quoi si opposer le différent , au sens de
10|changer , variable . notre thèse constant être que le identité au sentir àupse ne impliquer aucun assertion concerner un prétendu noyau non changer de le personnalité . Et celer , quand bien même le ipséité apporter un modalité propre de identité , comme le analyse de le promesse le attester . Or le équivocité de le identité concerner notre titre à travers le synonymie partiel , en français du moins , entrer « même » et « identique » . Dans son acception variées1 , « même » être employer dan le cadre de un comparaison ; il avoir pour contraire : autre , contraire , distinct , divers , inégal , inverse . le poids de ce usage comparatif du terme « même » se avoir paraître si grand que il tenir désormais le mêmeté pour synonyme de le identité - ù / em et que il luire opposer le ipséité par référence à le identité-/p.se . Jusqu' à quel point le équivocité du terme « même » se refléter - t - lui dan notre titre soi-mêm comme un autre ? indirectement seulement , dan le mesure où « soi-même » ne être que un forme renforcer de « soi » , le expression « même » servir à indiquer que il si agir exactement de le être ou de le chose en question ( ce être pourquoi il ne yu avoir guère de différence entrer « le souci de soi » et « le souci de soi-même » , sinon le effet de renforcement que on venir de dire ) . néanmoins , le fil ténu qui rattacher « même » , placer après « soi » à le adjectif « même » , au sens de identique ou de semblable , ne être pas rompre . Renforcer , ce être encore marquer un identité . ce ne être pas le cas en anglais ou en allemand où same ne pouvoir pas être confondre avec self , der die , dasselbe , ou pleich , avec Selbst , sinon dan un philosophie qui dériver expressémer le seljhood ou le Selbstheit de le mêmeté résulter de un comparaison . ici , le anglais et le allemand être moins source de équivoque que le français .
