0|start .
1|comment prendre de le possibilité du mal humain avoir son réalité , de le faillibilité à le faute ?
2|ce passage nous tenter de le surprendre dan le acte , en « répéter » en nous-même u aveu , que le conscience religieux en faire .
3|ce répétition en imagination et en sympathie ne pouvoir sans doute tenir lieu d’ un philosophie de le faute : il rester encore à savoir ce que le philosophe en faire , c’est-à-dire comment il l’ incorporer à ce discours sur l’ homme , commencer sou le signe de le dialectique du fini et de l’ infini . ce ultime péripétie occuper le troisième livre de ce ouvrage ; nous ne pouvoir encore en anticiper le sens ne savoir point encore le nouveau situation à partir de lequel le philosophie devoir se déterminerl .
4|Mais , si le « répétition » de l’ aveu du mal humain par le conscience religieux ne tenir pas lieu de philosophie , ce aveu néanmoins appartenir déjà à le circonscription de son intérêt , car ce aveu être un parole , un parole que l’ homme prononcer sur lui-même ; or tout parole pouvoir et devoir être « reprise » dan l’ élément du discourir philosophique . on dire tout à l’ heure quel être le lieu philosophique , si le on pouvoir dire , de ce « répétition » qui n’ être déjà plus religion vécu et qui n’ être pas encore philosophie . dison plutôt ce que dire ce parole que nous avoir appeler l’ aveu du mal humain par le conscience religieux .
5|il paraître d’ abord tenter de commencer par le expression le plus élaboré , le plus rationalisé , de ce aveu , dan l’ espoir que 1 1ces expression être le plus proche de le parole philosophique , en raison même de lui caractère « explicatif » ; ainsi être - t - on enclin à penser que c’ être avec le construction tardif de l’ époque augustinien sur le péché originel que le philosophie être appeler à se mesurer . bien un philosophie classique et moderne prendre comme un « donner » religieux , théologique , ce soi-disant concept et réduire le problème philosophique de le faute à un critique de l’ idée de péché originel .
6|rien n’ être plus rebelle à un confrontation direct avec le philosophie que le concept de péché originel , car rien n’ être plus trompeur que son apparence de rationalité . c’ être au contraire par le expression le moins élaboré , le plus balbutiante de ce aveu que le raison philosophique devoir se laisser interpeller . aussi falloir - il procéder régressivement et remonter , un expression « spéculatif » aux expression « spontaner » . En particulier il importer de se convaincre dès maintenant que le concept de péché originel n’ être pas au commencemer mais au terme d’ un cycle d’ expérience vif , l’ expérience chrétien du péché ; en outre l’ interprétation qu’ il donner de ce expérience n’ être qu’ un un rationalisation possible du mal radical selon le christianisme ; enfin et surtout , ce rationalisation , embaumer par le tradition et devenir le pierre d’ angle de l’ anthropologie chrétien , appartenir à un période de le penser marquer par le prétention de le gnose à « connaître » le mystère de Dieu et de le destiner humain ; non que le péché originel être un concept gnostique ; c’ être même au contraire un concept anti-gnostiqu ; mais il appartenir à l’ âge de le gnose en ce sens qu’ il tenter de rationaliser l’ expérience chrétien du mal radical de le même manière que le gnose ériger en « connaissance » son interprétation pseudo-philosophiqu du dualisme originaire , de le chute de Sophia ou de tout autre entité antérieur à l’ homme . c’ être ce contamination par le pseudo-philosophie qui , en dernier ressort , nous interdire de commencer par le notion le plus rationaliser de l’ aveu .
7|a quoi le spéculation nous renvoyer - t - lui ? à l’ expérience vif ? pas encore . Derrière le spéculation , sou le gnose et le construction anti-gnostiqu , nous trouver le mythe . on entendre ici par mythe ce que l’ histoire un religion yu discerner aujourd’hui : non point un faux explication par le moyen d’ image et de fable , mais un récit traditionnel , porter sur un événement arriver à l’ origine un temps et destiner à fonder l’ action rituel un homme d’ aujourd’ hui et de manière général à instituer tout lesforme d’ action et de penser par lequel l’ homme se comprendre lui-même dan son monde . Pour nous , moderne , le mythe être seulement mythe parce que nous ne pouvoir plus relier ce temps à celui de l’ histoire tel que nous l’ écrire selon le méthode critique , ni non plus rattacher le lieu du mythe à l’ espace de notre géographie ; c’ être pourquoi le mythe ne pouvoir plus être un explication ; exclure son intention étiologique , c’ être le thème de tout nécessaire démythologisation . Mais en perdre son prétention explicatif le mythe révéler son portée exploratoire et compréhensif , ce que nous appeler plus loin son fonction symbolique , c’est-à-dire son pouvoir de découvrir , de dévoiler le lien de l’ homme avoir son sacrer . aussi paradoxal qu’ il paraître , le mythe , ainsi démythologiser au contact de l’ histoire scientifique et élevé à le dignité de symbole , être un dimension de le penser moderne .
8|Mais que être ce qui être ainsi explorer , découvrir , dévoiler ? nous ne prétendre pas donner dan ce livre un théorie total du mythe ; notre contribution au problème être strictement limité aux myth qui parler du commencement et de le fin du mal ; nous espérer que ce limitation de principe de notre investigation être payer de retour par un compréhension plus rigoureux de le fonction du mythe par rapport à ce que nous venir d’ appeler en un terme intentionnellement vague le lien de l’ homme et de son sacrer ; le mal -- souillure ou péché -- être le point sensible et comme le « crise » de ce lien que le mythe expliciter à son façon ; en nous limiter aux myth concerner l’ origine et le fin , nous avoir chance d’ accéder avoir un compréhension intensif plutôt qu’ extensif du mythe . c’ être en effet parce que le mal être l’ expérience critique par excellence du sacrer , que le menace de dissolution du lien de l’ homme à son sacrer faire ressentir avec le plus grand intensité le dépendance de l’ homme aux force de son sacrer . aussi le mythe de le « crise » est-il du même coup le mythe de le « totalité » : en raconter comment ce chose avoir commencer et comment lui finir le mythe replacer l’ expérience de l’ homme dan un tout qui recevoir du récit orientation et sens . ainsi s’ exercer à travers le mythe un compréhension de le réalité humain en totalité par le moyen d’ un réminiscence et d’ un expectation 2 .
9|commenceron - nous donc par un interprétation un mythe sur l’ origine et le fin du mal ? non point encore . le couche un mythe , à quoi renvoyer le spéculation pseudo-rationnell , renvoyer lui - mêmeà un expérience constituer plus bas que tout récit et que tout gnose ; ainsi le récit de le chute dan le Bible , même s’ il procéder de tradition plus vieux que le prédication un prophète d’ Israël , ne tirer son sens que d’ un expérience du péché qui être lui-même l’ acquérir de le piété juif . c’ être le « confession un péché » dan le culte , c’ être l’ appel prophétique pour « le justice et le droit » , qui conférer un soubassement de sens au mythe .
10|ainsi le spéculation sur le péché originel renvoyer au mythe de le chutç ; celui-ci , à son tour , renvoyer à le confession un péché ; le mythe de le chute être si peu le pierre angulaire de le conception judéo-chrétien du péché que le figure d’ Adam , placer par le mythe à l’ origine de l’ histoire du mal humain , être demeurer un figure muet pour le quasi-totalité un écrivain de l’ ancien Testament : Abraham le père un croyant , l’ ancêtre - fondateur du peuple élu , noé le père de l’ humanité post-diluvienn avoir plus d’ écho dan le théologie biblique de l’ histoire que le figure d’ adam qui rester en quelque sorte en suspens jusqu’ à ce que saint Paul le réanimer , en le mettre en parallèle avec le second adam , avec Jésus-Christ . du même coup « l’ événement » du Christ transformer rétroactivement en « événement » similaire le chute d’ Adam ; par un effet de choc en retour l’ historicité du second adam conférer au premier adam un historicité comparable et d’ abord un indi- . vidualité semblable à celui du Christ . le démythologisation du récit de le chute avoir être rendu plus urgent par ce action rétroactif de le christologie paulinien sur le symbole adamique .
11|Or ce dimension du symbole ne pouvoir être reconquérir îjue par le « répétition » de l’ expérience que le mythe expliciter . c’ être donc jusqu’ à lui qu’ il falloir tenter de percer .
12|Mais ce répétition est-ell possible ? le rôle médiateur que nous avoir reconnaître à le spéculation et au mythe ne condamner - t - il pas à l’ avance ce entreprise de restauration du fond prémythiqu et pré-spéculatif ? l’ aventure être sans espoir si , plus bas que le gnose et le mythe , il n’ yu avoir plus de langage . Or ce n’ être pas le cas : il yu avoir le langage de l’ aveu , dont le langage du mythe et celui de le spéculation être un reprise de second et de troisième degré .
13|ce langage de l’ aveu être le contrepartie du triple caractèr de l’ expérience qu’ il porter au jour : cécité , équivocité , scandale .
14|l’ expérience dont le pénitent faire l’ aveu être un expérience aveugler : lui demeur pris dan le gangue de l’ émotion , de le peur , de l’ angoisser ; c’ être ce note émotionnel qui susciter l’ objectiver - tion dan un discours : l’ aveu exprim , pouss au dehors l’ émotion qui sans luire se refermer sur soi , comme un impression de l’ âme ; le langage être le lumière de l’ émotion ; par l’ aveu le conscience de faute être porter dan le lumière de le parole ; par l’ aveu l’ homme rester parole jusqu dan l’ expérience de son absurdité , de son souffrance , de son angoisse .
15|ce expérience être en outre complexe : au lieu de l’ expérience simple que l’ on pouvoir attendre , le confession un péché découvrir plusieurs couche de l’ expérience ; le « culpabilité » , au sens précis de sentiment de l’ indignité du noyau personnel être seule- , mentir le pointe avancer d’ un expérience radicalement individualiser et intériorisé ; ce sentiment de culpabilité renvoi à un expé - rincer plus fondamental , celui du « péché » , qui englober tou le homme et désigner le situation réel de l’ homme devoir Dieu , que l’ homme le savoir ou l’ ignorer . c’ être de ce péché que le mythe de le chute racont l’ entrée dan le monde ; c’ être luire que le spéculation sur le péché originel tenter d’ ériger en doctrine . Mais à son tour le péché être le correction et même le révolution d’ un conception plus archaïque de le faute , celui de le « souillure » concevoir avoir le façon d’ un tache qui infecter du dehors . culpabilité , péché , souillure constituer ainsi un diversité primitif dan l’ expérience : le sentiment n’ être donc pas seulement aveugler en tant qu’ émotionnel , il être équivoque , lourd de signification multiple ; c’ être pourquoi il requérir un second fois le langage , afin d’ élucider le crise souterrain de le conscience de faute .
16|Enfin l’ expérience dont le croire faire l’ aveu dan le confession un péché se susciter un langage par son étrangeté même ; l’ expérience d’ être soi-même et aliéner de soi se transcrire immédiatement sur le plan du langage dan le style de l’ interrogation ; le péché en tant qu’ aliénation à soi-même être , plus peut-être que le spectacle de le nature , un expérience étonnant , déconcertant , scandaleux : à ce titre lui être le source le plus riche de le penser interrogatif . Dans le plus vieux psautier babylonien le croire interrog : « jusquer à quand Seigneur ? contrer quel dieu avoir - il pécher ? quel péché avoir - il commettre ? » le péché se rendre incompréhensible à moi-même ; Dieu être cacher ; le cours un chose n’ avoir plus de sens . c’ être dan le ligne de ce interrogation et pour riposter au non-sens menacer que le mythe racont « comment celer avoir commencer » et que le gnose élaborer le fameux question : πόθεν tà κακά ; -- d’ où venir le mal ? -- et mobiliser tout le ressource de son explication . peut-être le péché est-il le plus important un occa - sion de questionner mais aussi de déraisonner à coup de réponse prématurer . Mais , de même que l’ illusion transoendantal scion kant attester par son embarras même que le raison être le pouvoir de l’ inconditionné , de même le réponse intempestif de le gnose et un mythe étiologiquer attester que l’ expérience le plus émouvant de l’ homme , celui d’ être perdre comme pécheur , communiqu avec le besoin de comprendre et susciter le prise de conscience par son caractère même de scandale .
17|Sur ce triple voie , l’ expérience vif de le faute se donner un langage : un langage qui l’ exprimer en dépit de son caractère aveugler , un langage qui expliciter son contradiction et son révolution intime , un langage enfin qui révéler comme étonnant l’ expérience de l’ aliénation .
18|Or le littérature hébreu et hellénique témoigner d’ un invention linguistique qui jalonner le éruption existentiel de
19|ce conscience de faute ; c’ être en retrouver le motivation de ce
20|invention linguistique que nous répéter le passage de le souillure au péché et à le culpabilité : ainsi le mot hébreu et grec qui dire le faute avoir un sorte de sagesse propre qu’ il s’ agir d’ expliciter et de prendre pour guide dan le labyrinthe de l’ expérience vif ; nous ne être donc point renvoyer à l’ ineffable quand nous tenter de creuser sou le mythe du mal ; c’ être encore sur un langage que nous déboucher .
21|bien plus le compréhension tout sémantique que nous pouvoir acquérir du vocabulaire de le faute être un exercice préparatoire à l’ herméneutique un mythe ; c’ être même déjà un herméneutique , car le langage le plus primitif et le moins mythique être déjà un langage symbolique : le souillure se dire dan le symbole de le tache , le péché dan celui du but manquer , du chemin tortueux , du franchissement de le limite , etc. bref , le langage privilégié de le faute paraître bien être indirect et imager . il yu avoir là quelque chose d’ assez étonnant : le conscience de soi sembler se constituer dan son profondeur par le moyen du symbolisme et n’ élaborer de langue abstrait qu’ en second instance par le moyen d’ un herméneutique spontané de son symbole primaire . on voir plus tard le implication considérable de ce constatation . Pour le moment il suffire d’ avoir établir que le « répétition » en imagination et en sympathie se mouvoir toujours dan l’ élément du langage , quand le réflexion régress de le gnose au mythe et du mythe aux tout premier expression symbolique mettre en œuvre dan l’ aveu dela faute ; ce renvoi à un symbole primaire permettre dès maintenant de considérer le mythe et le gnose comme un symbole secondaire et tertiaire dont le interprétation reposer sur celui un symbole primaire .
22|c’ être donc comme un tout qu’ il falloir prendre le langage élémentaire de l’ aveu , le langage développer du mythe et le langage élaborer de le gnose et de le contre-gnose . il n’ yu avoir pas d’ autonomie de le spéculation et le mythe être lui-même second ; mais il n’ yu avoir pas non plus de conscience immédiat de le faute qui pouvoir faire l’ économie un élaboration second et tierce . c’ être le cercler de l’ aveu , du mythe et de le spéculation qu’ il falloir comprendre .
23|Si donc nous commencer par l’ interprétation de l’ expérience vif il ne falloir pas perdre de vue que ce expérience être abstraire , en dépit de son apparence vivre ; lui être abstraire en tant que séparé de le totalité de sens d’ où on l’ arracher pour un raison didactique ; il ne falloir pas non plus oublier que ce expérience n’ être jamais immédiat : lui ne pouvoir être dire qu’ à le faveur un symbolisme primaire qui préparer son reprise dan le mythe et le spéculation 3 .
24|l’ aveu , avoir - nous dire , se déployer toujours dan l’ élément du langage ; or ce langage être pour l’ essentiel symbolique . un philosophie soucieux d’ intégrer l’ aveu à le conscience de soi ne savoir donc éluder le tâcher d’ élaborer , au moins à grand trait , un critériologie du symbole .
25|Avant de procéder à un analyse intentionnel direct du symbole , il falloir repérer l’ amplitude et le variété de · son zone d’ émergence ; on ne comprendre en effet l’ usage réflexif du symbolisme , comme on voir par exemple dan l’ examen de conscience du pénitent de Babylone ou d’ Israël , qu’ en remonter à son forme naïver où le privilège de le conscience réfléchir être subordonner être à l’ aspect cosmique un hiérophanie , être à l’ aspect nocturne un production onirique , être enfin à le créativité du verbe poétique .
26|ce trois dimension -- cosmique , onirique et poétique -- du sym · 	 ie >
27|bole être présenter en tout symbole authentique ; l’ aspect réflexif un symbole que nous examiner plus loin ( souillure , déviation , errance , exil , poids de le faute , etc. ) ne se comprendre que relier à ce trois fonction du symbole .
28|c’ être d’ abord sur le monde , sur un élément ou un aspect du monde , sur le ciel , sur le soleil et le lune , sur le eau et le végétation que l’ homme lire le sacrer ; le symbolisme parler renvoyer ainsi aux manifestation du sacrer , .aux hiérophanie , où le sacrer être montrer dan un fragment du cosmos qui en retour perdre son limite concret , se charger de signification innombrable , intègre et unifier le plus grand nombre possible de secteur de l’ expérience anthropocosmique4 ; c’ être donc d’ abord le soleil , le lune , le eau , c’est-à-dire un réalité cosmique , qui être symbol ; diron - nous alors que le symbole par son aspect cosmique être antérieur , voire étranger au langage ? non point ; être symbole pour ce réalité c’ être recueillir dan un nœud de présence un masse d’ intention significatif qui , avant de donner à penser , donner à parler ; le manifestation symbolique comme chose être un matrice de signification symboliquer comme parol ; on n’ avoir pas jamais finir de dire le ciel ( pour prendre le premier exemple sur lequel Eliade exercer son phénoménologie comparatiste ) ; c’ être le même chose de dire que le ciel manifeste le sacrer et de dire qu’ il signifier le très-haut , l’ élevé et l’ immense , le puissant et l’ ordonner , le clairvoyant et le sage , le souverain , l’ immuable ; le manifestation par le chose être comme le condensation d’ un discours infini ; manifestation et signification être strictement contemporain et réciproque ; le concrétion dan le chose être là contrepartie de le surdétermination d’ un sens iné·. puisabl qui se ramifier dan le cosmique , dan l’ éthique et le politique . ainsi le symbole - chose être puissance d’ innombrable symbol parlé qui en retour se nouer dan un manifestation singulier du cosmos .
