id,w,k,n,ll_token,u_mass,c_v,c_uci,c_npmi
7420691283855744858,41,20,2350,-8.39996,-3.551034446222116,0.40099178473432745,-4.317010796610401,-0.09868848311378058
-2197609476847808455,32,18,2440,-8.3722,-3.5147113761785227,0.3845378897655667,-4.25855213548035,-0.09940842898714762
-2668930105330113924,49,24,2580,-8.39165,-4.084095681329939,0.3739615671004077,-5.52908078324626,-0.13905087186373788
7420707684170129477,41,7,2390,-8.4432,-2.3685366041642153,0.35481035916201575,-2.4031246837800393,-0.05757827180204056
-3930113230990787067,48,22,2600,-8.38995,-3.5503137308537904,0.3951202462223449,-4.8077427796564525,-0.11162373052435864
8681880720322384878,42,23,2420,-8.38141,-4.32996614276175,0.4026425078551609,-5.200906013116651,-0.12943306046198289
-2197639740114030495,32,10,2600,-8.45076,-2.7368454577376973,0.34526499627664664,-2.5650177344848935,-0.05957646231974323
4108365432789455385,37,5,2400,-8.41194,-2.5544668739405285,0.3183022826931797,-1.935688973915721,-0.04130119849682629
8681885764937952918,42,19,2440,-8.39621,-3.6625817775162366,0.38141695355829797,-4.718428569804488,-0.11659183981142732
-2668920020432960124,49,16,2500,-8.41504,-3.5500728500541654,0.3617205671205661,-4.612727688733705,-0.11425307400695967
-7242459266158185860,44,21,2430,-8.40969,-3.5680201710211015,0.3823903509952469,-4.656882699294533,-0.11358251201529279
-1726383433123713717,31,19,2570,-8.37115,-3.622281138721124,0.37326954245400934,-4.151618913378293,-0.09757568745161847
-1726353165546810377,31,11,2590,-8.37808,-3.3699801775982565,0.36724690067193644,-3.469214150812599,-0.07981042722936313
4108347776236520487,37,19,2480,-8.38147,-3.6086645389218424,0.3841734187707368,-4.475609236732813,-0.10251926867376457
-2987562771393000553,30,6,2480,-8.40965,-2.438760232167614,0.3439079875150841,-1.8234583369157595,-0.038353126170564474
-2197624606616841075,32,6,2320,-8.41963,-2.284308274441486,0.3201404476526795,-1.889319531909969,-0.046070096386029546
-936411216701984340,33,16,2300,-8.36065,-3.5794123445119093,0.3558359854204932,-4.194619380085302,-0.09680686510911264
-5981259744449537536,45,20,2520,-8.40092,-3.77355551436429,0.3615689431647743,-4.992458657715168,-0.12385393692959053
-2668911190928531029,49,9,2590,-8.42755,-2.9223396436566302,0.34906067297872934,-3.576814128578322,-0.08989078192809342
6159522031408660728,40,13,2310,-8.40144,-3.5576354590413795,0.3787929280455509,-4.068713585919463,-0.0945323295306763
-4720024910240844896,46,11,2330,-8.39069,-3.438876267469804,0.34525601711074283,-4.259607711052355,-0.1093502168994638
-3930091789665496014,48,7,2350,-8.47746,-2.698027099131075,0.29696647972426654,-2.6036941610632676,-0.06473083647043325
2847183563695876339,36,10,2330,-8.37987,-2.9470161315883074,0.34561805863836825,-3.458260028202543,-0.08276536348038402
-1726389734371618598,31,20,2600,-8.38726,-3.7712138931614825,0.36610527308267105,-3.995170658338277,-0.08849248145050473
-8503638607640677838,43,14,2310,-8.4,-3.3013753497458826,0.3668977869876862,-4.307415652144203,-0.10705323626411478
-936441485276169624,33,8,2440,-8.42936,-2.666789391832866,0.3182694483212235,-2.6517704100568475,-0.06393084001313201
4108346514347482558,37,20,2310,-8.36795,-3.4847261908515024,0.4060445350901933,-4.412106727019586,-0.09982642939209516
-936440224351792267,33,15,2550,-8.38604,-3.5674622839602446,0.36480810321563356,-4.162427737355817,-0.09175578098089117
1585982785709066070,35,10,2550,-8.42772,-3.1221110609176117,0.3612563958302756,-3.6524050016046905,-0.08753176216227679
-5981261005383235285,45,21,2470,-8.4053,-4.288024967157846,0.3652542007200313,-5.3448492971962045,-0.13568306283540504
-3458819087694388939,47,21,2490,-8.39657,-3.7573875244618167,0.37351136780833794,-4.930306002517138,-0.1193847506240497
-3458826655086090697,47,15,2410,-8.39815,-3.403136547813791,0.34524844886645484,-4.070515191023076,-0.0960995673429487
-2668897318453583082,49,6,2480,-8.45373,-2.2155061609501345,0.32916415444035546,-2.098840186988482,-0.0515351280172076
324761823945030103,34,6,2500,-8.41194,-2.535052024299588,0.3480036949264615,-1.9970648227899772,-0.04322723190757157
-3930101884656634350,48,15,2310,-8.40531,-3.491174232454876,0.37102852224420896,-4.464490410839098,-0.10786941101801543
7420707684342556729,41,7,2530,-8.45299,-2.4140480390981254,0.35127096158846344,-2.307622444138545,-0.056034393875375024
-4720007253655288626,46,21,2530,-8.39374,-3.9065022998612426,0.4110179334429193,-5.129957910290516,-0.12530486714431183
6630764475211800187,39,11,2410,-8.37971,-3.1957474307713145,0.358839701334223,-3.6745031386610476,-0.08605826179018444
-3930114496924875124,48,21,2570,-8.39693,-3.743268796180826,0.3796044877141708,-4.795673659062743,-0.11467388243925389
5369567471162390373,38,12,2320,-8.36351,-3.4596185829395014,0.3546429516209549,-3.8351825752877264,-0.08482413765707203
-936406171396707292,33,20,2480,-8.38699,-3.848045591466672,0.3820187666416583,-4.516269091453044,-0.10379908545664791
-7242436569037063148,44,7,2500,-8.44219,-2.534567472048674,0.3534106065935186,-2.582800537650408,-0.06143700469154762
8681881976633168195,42,20,2390,-8.39779,-3.595558003750656,0.37782136094539387,-4.630683888449772,-0.11074191544558579
-5981259744531090966,45,20,2450,-8.39005,-3.7972337483998784,0.3597068303763066,-4.764215525212206,-0.11599301424220945
6159520775510304757,40,12,2510,-8.3874,-3.299407829545713,0.3607280578111602,-3.928649084538085,-0.09029595058523308
-7242447920488111073,44,14,2570,-8.39948,-3.678502356859787,0.359417442628419,-4.222114007500786,-0.10166514983142423
8681916033533109084,42,11,2570,-8.39548,-3.020212111514836,0.3394394480671667,-3.4548578187255896,-0.08410439784369486
