,rank
929-Symbole,0
943-Symbole,1
429-Symbole,2
932-Symbole,3
919-Symbole,4
436-Symbole,5
920-Symbole,6
411-Symbole,7
930-Symbole,8
399-Symbole,9
406-Symbole,10
400-Symbole,11
931-Symbole,12
925-Symbole,13
941-Symbole,14
420-Symbole,15
914-Symbole,16
397-Symbole,17
421-Symbole,18
915-Symbole,19
408-Symbole,20
939-Symbole,21
921-Symbole,22
935-Symbole,23
937-Symbole,24
21-Symbole,25
23-Symbole,26
401-Symbole,27
923-Symbole,28
942-Symbole,29
911-Symbole,30
409-Symbole,31
913-Symbole,32
422-Symbole,33
927-Symbole,34
922-Symbole,35
412-Symbole,36
912-Symbole,37
424-Symbole,38
916-Symbole,39
12-Symbole,40
22-Symbole,41
3-Symbole,42
417-Symbole,43
926-Symbole,44
415-Symbole,45
11-Symbole,46
407-Symbole,47
17-Symbole,48
940-Symbole,49
910-Symbole,50
405-Symbole,51
938-Symbole,52
432-Symbole,53
443-Symbole,54
928-Symbole,55
924-Symbole,56
398-Symbole,57
403-Symbole,58
428-Symbole,59
917-Symbole,60
933-Symbole,61
944-Symbole,62
402-Symbole,63
438-Symbole,64
404-Symbole,65
14-Symbole,66
426-Symbole,67
416-Symbole,68
5-Symbole,69
437-Symbole,70
435-Symbole,71
414-Symbole,72
427-Symbole,73
442-Symbole,74
9-Symbole,75
13-Symbole,76
20-Symbole,77
431-Symbole,78
440-Symbole,79
6-Symbole,80
425-Symbole,81
4-Symbole,82
410-Symbole,83
18-Symbole,84
441-Symbole,85
2-Symbole,86
434-Symbole,87
918-Symbole,88
423-Symbole,89
19-Symbole,90
10-Symbole,91
418-Symbole,92
15-Symbole,93
439-Symbole,94
936-Symbole,95
8-Symbole,96
419-Symbole,97
7-Symbole,98
433-Symbole,99
16-Symbole,100
430-Symbole,101
934-Symbole,102
1-Symbole,103
413-Symbole,104
