,rank
634-Justice,0
709-Justice,1
715-Justice,2
692-Justice,3
744-Justice,4
712-Justice,5
631-Justice,6
639-Justice,7
736-Justice,8
629-Justice,9
642-Justice,10
635-Justice,11
630-Justice,12
738-Justice,13
675-Justice,14
705-Justice,15
720-Justice,16
677-Justice,17
699-Justice,18
678-Justice,19
701-Justice,20
681-Justice,21
737-Justice,22
661-Justice,23
679-Justice,24
718-Justice,25
700-Justice,26
694-Justice,27
742-Justice,28
696-Justice,29
682-Justice,30
685-Justice,31
637-Justice,32
683-Justice,33
666-Justice,34
659-Justice,35
687-Justice,36
686-Justice,37
648-Justice,38
732-Justice,39
716-Justice,40
650-Justice,41
643-Justice,42
728-Justice,43
688-Justice,44
684-Justice,45
707-Justice,46
726-Justice,47
649-Justice,48
658-Justice,49
735-Justice,50
725-Justice,51
641-Justice,52
717-Justice,53
713-Justice,54
652-Justice,55
690-Justice,56
627-Justice,57
674-Justice,58
651-Justice,59
710-Justice,60
730-Justice,61
654-Justice,62
698-Justice,63
657-Justice,64
671-Justice,65
693-Justice,66
655-Justice,67
727-Justice,68
664-Justice,69
719-Justice,70
660-Justice,71
636-Justice,72
708-Justice,73
653-Justice,74
731-Justice,75
729-Justice,76
628-Justice,77
722-Justice,78
740-Justice,79
633-Justice,80
739-Justice,81
689-Justice,82
741-Justice,83
703-Justice,84
704-Justice,85
711-Justice,86
721-Justice,87
706-Justice,88
662-Justice,89
667-Justice,90
640-Justice,91
673-Justice,92
680-Justice,93
733-Justice,94
743-Justice,95
645-Justice,96
663-Justice,97
697-Justice,98
665-Justice,99
668-Justice,100
672-Justice,101
724-Justice,102
691-Justice,103
644-Justice,104
670-Justice,105
714-Justice,106
669-Justice,107
646-Justice,108
