,rank
681-Morale,0
738-Morale,1
694-Morale,2
736-Morale,3
737-Morale,4
693-Morale,5
700-Morale,6
692-Morale,7
699-Morale,8
688-Morale,9
717-Morale,10
636-Morale,11
696-Morale,12
731-Morale,13
698-Morale,14
661-Morale,15
701-Morale,16
712-Morale,17
690-Morale,18
628-Morale,19
708-Morale,20
687-Morale,21
729-Morale,22
682-Morale,23
706-Morale,24
720-Morale,25
686-Morale,26
705-Morale,27
718-Morale,28
715-Morale,29
662-Morale,30
642-Morale,31
643-Morale,32
742-Morale,33
704-Morale,34
639-Morale,35
722-Morale,36
679-Morale,37
645-Morale,38
732-Morale,39
685-Morale,40
741-Morale,41
664-Morale,42
735-Morale,43
744-Morale,44
627-Morale,45
629-Morale,46
740-Morale,47
683-Morale,48
703-Morale,49
640-Morale,50
653-Morale,51
652-Morale,52
697-Morale,53
680-Morale,54
659-Morale,55
671-Morale,56
667-Morale,57
719-Morale,58
730-Morale,59
654-Morale,60
678-Morale,61
721-Morale,62
631-Morale,63
635-Morale,64
743-Morale,65
713-Morale,66
707-Morale,67
665-Morale,68
727-Morale,69
733-Morale,70
684-Morale,71
630-Morale,72
648-Morale,73
725-Morale,74
651-Morale,75
634-Morale,76
644-Morale,77
655-Morale,78
649-Morale,79
709-Morale,80
728-Morale,81
641-Morale,82
660-Morale,83
739-Morale,84
658-Morale,85
657-Morale,86
677-Morale,87
675-Morale,88
650-Morale,89
711-Morale,90
710-Morale,91
726-Morale,92
716-Morale,93
689-Morale,94
668-Morale,95
674-Morale,96
663-Morale,97
724-Morale,98
637-Morale,99
672-Morale,100
666-Morale,101
633-Morale,102
714-Morale,103
670-Morale,104
669-Morale,105
673-Morale,106
691-Morale,107
646-Morale,108
