,rank
643-Sagesse Pratique,0
717-Sagesse Pratique,1
628-Sagesse Pratique,2
737-Sagesse Pratique,3
680-Sagesse Pratique,4
679-Sagesse Pratique,5
693-Sagesse Pratique,6
721-Sagesse Pratique,7
681-Sagesse Pratique,8
685-Sagesse Pratique,9
715-Sagesse Pratique,10
653-Sagesse Pratique,11
683-Sagesse Pratique,12
659-Sagesse Pratique,13
696-Sagesse Pratique,14
700-Sagesse Pratique,15
660-Sagesse Pratique,16
736-Sagesse Pratique,17
651-Sagesse Pratique,18
636-Sagesse Pratique,19
738-Sagesse Pratique,20
705-Sagesse Pratique,21
704-Sagesse Pratique,22
642-Sagesse Pratique,23
658-Sagesse Pratique,24
630-Sagesse Pratique,25
727-Sagesse Pratique,26
655-Sagesse Pratique,27
635-Sagesse Pratique,28
732-Sagesse Pratique,29
703-Sagesse Pratique,30
733-Sagesse Pratique,31
670-Sagesse Pratique,32
692-Sagesse Pratique,33
731-Sagesse Pratique,34
686-Sagesse Pratique,35
687-Sagesse Pratique,36
744-Sagesse Pratique,37
662-Sagesse Pratique,38
740-Sagesse Pratique,39
629-Sagesse Pratique,40
672-Sagesse Pratique,41
648-Sagesse Pratique,42
701-Sagesse Pratique,43
699-Sagesse Pratique,44
690-Sagesse Pratique,45
654-Sagesse Pratique,46
708-Sagesse Pratique,47
674-Sagesse Pratique,48
677-Sagesse Pratique,49
665-Sagesse Pratique,50
726-Sagesse Pratique,51
694-Sagesse Pratique,52
640-Sagesse Pratique,53
682-Sagesse Pratique,54
678-Sagesse Pratique,55
689-Sagesse Pratique,56
652-Sagesse Pratique,57
671-Sagesse Pratique,58
742-Sagesse Pratique,59
709-Sagesse Pratique,60
730-Sagesse Pratique,61
637-Sagesse Pratique,62
711-Sagesse Pratique,63
639-Sagesse Pratique,64
688-Sagesse Pratique,65
664-Sagesse Pratique,66
707-Sagesse Pratique,67
712-Sagesse Pratique,68
720-Sagesse Pratique,69
716-Sagesse Pratique,70
735-Sagesse Pratique,71
728-Sagesse Pratique,72
627-Sagesse Pratique,73
718-Sagesse Pratique,74
645-Sagesse Pratique,75
667-Sagesse Pratique,76
698-Sagesse Pratique,77
713-Sagesse Pratique,78
649-Sagesse Pratique,79
661-Sagesse Pratique,80
722-Sagesse Pratique,81
633-Sagesse Pratique,82
631-Sagesse Pratique,83
710-Sagesse Pratique,84
706-Sagesse Pratique,85
669-Sagesse Pratique,86
675-Sagesse Pratique,87
634-Sagesse Pratique,88
743-Sagesse Pratique,89
719-Sagesse Pratique,90
725-Sagesse Pratique,91
741-Sagesse Pratique,92
666-Sagesse Pratique,93
663-Sagesse Pratique,94
641-Sagesse Pratique,95
697-Sagesse Pratique,96
650-Sagesse Pratique,97
644-Sagesse Pratique,98
684-Sagesse Pratique,99
673-Sagesse Pratique,100
657-Sagesse Pratique,101
724-Sagesse Pratique,102
739-Sagesse Pratique,103
668-Sagesse Pratique,104
714-Sagesse Pratique,105
691-Sagesse Pratique,106
646-Sagesse Pratique,107
