,n,mythe,symbole
0,1,1.0,1.0
1,2,1.0,0.5
2,3,0.6666666666666666,0.3333333333333333
3,4,0.75,0.5
4,5,0.8,0.6
5,6,0.8333333333333334,0.6666666666666666
6,7,0.7142857142857143,0.5714285714285714
7,8,0.75,0.5
8,9,0.6666666666666666,0.4444444444444444
9,10,0.7,0.4
10,11,0.6363636363636364,0.36363636363636365
11,12,0.6666666666666666,0.4166666666666667
12,13,0.6153846153846154,0.46153846153846156
13,14,0.5714285714285714,0.42857142857142855
14,15,0.6,0.4
15,16,0.625,0.375
16,17,0.5882352941176471,0.35294117647058826
17,18,0.5555555555555556,0.3333333333333333
18,19,0.5263157894736842,0.3157894736842105
19,20,0.55,0.3
