,rank
645-Justice,0
634-Justice,1
659-Justice,2
706-Justice,3
631-Justice,4
635-Justice,5
713-Justice,6
637-Justice,7
641-Justice,8
744-Justice,9
684-Justice,10
719-Justice,11
651-Justice,12
709-Justice,13
712-Justice,14
715-Justice,15
685-Justice,16
630-Justice,17
683-Justice,18
654-Justice,19
648-Justice,20
692-Justice,21
633-Justice,22
643-Justice,23
658-Justice,24
642-Justice,25
629-Justice,26
689-Justice,27
628-Justice,28
669-Justice,29
627-Justice,30
636-Justice,31
639-Justice,32
640-Justice,33
644-Justice,34
646-Justice,35
649-Justice,36
650-Justice,37
652-Justice,38
653-Justice,39
655-Justice,40
657-Justice,41
660-Justice,42
661-Justice,43
662-Justice,44
663-Justice,45
664-Justice,46
665-Justice,47
666-Justice,48
667-Justice,49
668-Justice,50
670-Justice,51
671-Justice,52
672-Justice,53
673-Justice,54
674-Justice,55
675-Justice,56
677-Justice,57
678-Justice,58
679-Justice,59
680-Justice,60
681-Justice,61
682-Justice,62
686-Justice,63
687-Justice,64
688-Justice,65
690-Justice,66
691-Justice,67
693-Justice,68
694-Justice,69
696-Justice,70
697-Justice,71
698-Justice,72
699-Justice,73
700-Justice,74
701-Justice,75
703-Justice,76
704-Justice,77
705-Justice,78
707-Justice,79
708-Justice,80
710-Justice,81
711-Justice,82
714-Justice,83
716-Justice,84
717-Justice,85
718-Justice,86
720-Justice,87
721-Justice,88
722-Justice,89
724-Justice,90
725-Justice,91
726-Justice,92
727-Justice,93
728-Justice,94
729-Justice,95
730-Justice,96
731-Justice,97
732-Justice,98
733-Justice,99
735-Justice,100
736-Justice,101
737-Justice,102
738-Justice,103
739-Justice,104
740-Justice,105
741-Justice,106
742-Justice,107
743-Justice,108
