,rank
697-Morale,0
700-Morale,1
731-Morale,2
688-Morale,3
687-Morale,4
628-Morale,5
701-Morale,6
682-Morale,7
686-Morale,8
712-Morale,9
696-Morale,10
707-Morale,11
694-Morale,12
643-Morale,13
652-Morale,14
742-Morale,15
738-Morale,16
667-Morale,17
690-Morale,18
737-Morale,19
681-Morale,20
733-Morale,21
732-Morale,22
642-Morale,23
671-Morale,24
729-Morale,25
693-Morale,26
670-Morale,27
655-Morale,28
683-Morale,29
679-Morale,30
627-Morale,31
629-Morale,32
630-Morale,33
631-Morale,34
633-Morale,35
634-Morale,36
635-Morale,37
636-Morale,38
637-Morale,39
639-Morale,40
640-Morale,41
641-Morale,42
644-Morale,43
645-Morale,44
646-Morale,45
648-Morale,46
649-Morale,47
650-Morale,48
651-Morale,49
653-Morale,50
654-Morale,51
657-Morale,52
658-Morale,53
659-Morale,54
660-Morale,55
661-Morale,56
662-Morale,57
663-Morale,58
664-Morale,59
665-Morale,60
666-Morale,61
668-Morale,62
669-Morale,63
672-Morale,64
673-Morale,65
674-Morale,66
675-Morale,67
677-Morale,68
678-Morale,69
680-Morale,70
684-Morale,71
685-Morale,72
689-Morale,73
691-Morale,74
692-Morale,75
698-Morale,76
699-Morale,77
703-Morale,78
704-Morale,79
705-Morale,80
706-Morale,81
708-Morale,82
709-Morale,83
710-Morale,84
711-Morale,85
713-Morale,86
714-Morale,87
715-Morale,88
716-Morale,89
717-Morale,90
718-Morale,91
719-Morale,92
720-Morale,93
721-Morale,94
722-Morale,95
724-Morale,96
725-Morale,97
726-Morale,98
727-Morale,99
728-Morale,100
730-Morale,101
735-Morale,102
736-Morale,103
739-Morale,104
740-Morale,105
741-Morale,106
743-Morale,107
744-Morale,108
