,relevance,disagree
910-Mythe,Irrelevant,False
910-Symbole,Irrelevant,True
910-Homme,Irrelevant,False
911-Mythe,Irrelevant,True
911-Symbole,Relevant,False
911-Homme,Irrelevant,False
912-Mythe,Irrelevant,True
912-Symbole,Relevant,False
912-Homme,Irrelevant,False
913-Mythe,Irrelevant,True
913-Symbole,Relevant,False
913-Homme,Irrelevant,False
914-Mythe,Relevant,False
914-Symbole,Irrelevant,True
914-Homme,Irrelevant,False
915-Mythe,Irrelevant,False
915-Symbole,Relevant,False
915-Homme,Irrelevant,False
916-Mythe,Irrelevant,False
916-Symbole,Relevant,False
916-Homme,Irrelevant,False
917-Mythe,Irrelevant,True
917-Symbole,Irrelevant,False
917-Homme,Relevant,False
918-Mythe,Irrelevant,False
918-Symbole,Irrelevant,False
918-Homme,Irrelevant,True
919-Mythe,Irrelevant,True
919-Symbole,Relevant,False
919-Homme,Irrelevant,False
920-Mythe,Irrelevant,False
920-Symbole,Relevant,False
920-Homme,Irrelevant,False
921-Mythe,Irrelevant,True
921-Symbole,Relevant,False
921-Homme,Irrelevant,False
922-Mythe,Relevant,False
922-Symbole,Relevant,False
922-Homme,Irrelevant,True
923-Mythe,Irrelevant,True
923-Symbole,Irrelevant,True
923-Homme,Irrelevant,True
924-Mythe,Irrelevant,False
924-Symbole,Relevant,False
924-Homme,Irrelevant,False
925-Mythe,Irrelevant,False
925-Symbole,Relevant,False
925-Homme,Irrelevant,False
926-Mythe,Irrelevant,False
926-Symbole,Irrelevant,True
926-Homme,Irrelevant,False
927-Mythe,Irrelevant,True
927-Symbole,Relevant,False
927-Homme,Irrelevant,False
928-Mythe,Irrelevant,False
928-Symbole,Irrelevant,False
928-Homme,Irrelevant,False
929-Mythe,Irrelevant,False
929-Symbole,Relevant,False
929-Homme,Irrelevant,False
930-Mythe,Irrelevant,True
930-Symbole,Relevant,False
930-Homme,Irrelevant,False
931-Mythe,Irrelevant,False
931-Symbole,Relevant,False
931-Homme,Irrelevant,False
932-Mythe,Relevant,False
932-Symbole,Relevant,False
932-Homme,Irrelevant,False
933-Mythe,Irrelevant,True
933-Symbole,Irrelevant,False
933-Homme,Irrelevant,False
934-Mythe,Relevant,False
934-Symbole,Irrelevant,False
934-Homme,Irrelevant,False
935-Mythe,Irrelevant,False
935-Symbole,Relevant,False
935-Homme,Irrelevant,False
936-Mythe,Irrelevant,False
936-Symbole,Irrelevant,False
936-Homme,Irrelevant,False
937-Mythe,Irrelevant,False
937-Symbole,Relevant,False
937-Homme,Relevant,False
938-Mythe,Irrelevant,True
938-Symbole,Relevant,False
938-Homme,Irrelevant,True
939-Mythe,Irrelevant,True
939-Symbole,Relevant,False
939-Homme,Irrelevant,True
940-Mythe,Relevant,False
940-Symbole,Irrelevant,True
940-Homme,Irrelevant,True
941-Mythe,Irrelevant,False
941-Symbole,Relevant,False
941-Homme,Irrelevant,False
942-Mythe,Irrelevant,False
942-Symbole,Irrelevant,False
942-Homme,Irrelevant,False
943-Mythe,Irrelevant,False
943-Symbole,Relevant,False
943-Homme,Irrelevant,True
944-Mythe,Irrelevant,False
944-Symbole,Irrelevant,False
944-Homme,Irrelevant,False
397-Mythe,Irrelevant,False
397-Symbole,Relevant,False
397-Homme,Irrelevant,False
398-Mythe,Irrelevant,True
398-Symbole,Irrelevant,False
398-Homme,Irrelevant,False
399-Mythe,Irrelevant,False
399-Symbole,Irrelevant,False
399-Homme,Irrelevant,False
400-Mythe,Irrelevant,False
400-Symbole,Relevant,False
400-Homme,Irrelevant,False
401-Mythe,Irrelevant,False
401-Symbole,Irrelevant,False
401-Homme,Irrelevant,False
402-Mythe,Irrelevant,False
402-Symbole,Irrelevant,True
402-Homme,Irrelevant,True
403-Mythe,Irrelevant,False
403-Symbole,Relevant,False
403-Homme,Irrelevant,False
404-Mythe,Irrelevant,False
404-Symbole,Irrelevant,True
404-Homme,Irrelevant,True
405-Mythe,Irrelevant,True
405-Symbole,Irrelevant,True
405-Homme,Relevant,False
406-Mythe,Irrelevant,False
406-Symbole,Irrelevant,True
406-Homme,Irrelevant,False
407-Mythe,Irrelevant,False
407-Symbole,Irrelevant,False
407-Homme,Relevant,False
408-Mythe,Irrelevant,True
408-Symbole,Irrelevant,True
408-Homme,Irrelevant,True
409-Mythe,Irrelevant,False
409-Symbole,Irrelevant,False
