,n,kw,acs,wmd
0,1,1.0,1.0,1.0
1,2,0.5,1.0,1.0
2,3,0.6666666666666666,1.0,1.0
3,4,0.75,0.75,1.0
4,5,0.6,0.8,1.0
5,6,0.6666666666666666,0.6666666666666666,0.8333333333333334
6,7,0.7142857142857143,0.7142857142857143,0.8571428571428571
7,8,0.75,0.75,0.875
8,9,0.7777777777777778,0.7777777777777778,0.7777777777777778
9,10,0.8,0.8,0.8
10,11,0.8181818181818182,0.8181818181818182,0.8181818181818182
11,12,0.75,0.75,0.8333333333333334
12,13,0.7692307692307693,0.6923076923076923,0.8461538461538461
13,14,0.7142857142857143,0.7142857142857143,0.8571428571428571
14,15,0.7333333333333333,0.7333333333333333,0.8666666666666667
15,16,0.75,0.75,0.8125
16,17,0.7647058823529411,0.7058823529411765,0.8235294117647058
17,18,0.7777777777777778,0.6666666666666666,0.8333333333333334
18,19,0.7894736842105263,0.6842105263157895,0.8421052631578947
19,20,0.8,0.7,0.85
