,n,kw,acs,wmd
0,1,0.0,0.0,1.0
1,2,0.0,0.0,1.0
2,3,0.3333333333333333,0.3333333333333333,0.6666666666666666
3,4,0.5,0.5,0.75
4,5,0.6,0.4,0.8
5,6,0.5,0.5,0.8333333333333334
6,7,0.42857142857142855,0.42857142857142855,0.8571428571428571
7,8,0.375,0.375,0.875
8,9,0.4444444444444444,0.3333333333333333,0.7777777777777778
9,10,0.5,0.4,0.7
10,11,0.5454545454545454,0.45454545454545453,0.6363636363636364
11,12,0.5833333333333334,0.5,0.5833333333333334
12,13,0.6153846153846154,0.46153846153846156,0.5384615384615384
13,14,0.6428571428571429,0.42857142857142855,0.5
14,15,0.6666666666666666,0.4,0.5333333333333333
15,16,0.6875,0.375,0.5625
16,17,0.7058823529411765,0.35294117647058826,0.5294117647058824
17,18,0.7222222222222222,0.3333333333333333,0.5
18,19,0.6842105263157895,0.3157894736842105,0.5263157894736842
19,20,0.7,0.3,0.55
