,rank
709-Justice,0
631-Justice,1
634-Justice,2
629-Justice,3
630-Justice,4
642-Justice,5
637-Justice,6
683-Justice,7
685-Justice,8
715-Justice,9
659-Justice,10
711-Justice,11
652-Justice,12
654-Justice,13
692-Justice,14
628-Justice,15
645-Justice,16
674-Justice,17
677-Justice,18
687-Justice,19
672-Justice,20
651-Justice,21
655-Justice,22
669-Justice,23
716-Justice,24
726-Justice,25
635-Justice,26
721-Justice,27
741-Justice,28
703-Justice,29
710-Justice,30
653-Justice,31
684-Justice,32
740-Justice,33
712-Justice,34
666-Justice,35
686-Justice,36
713-Justice,37
660-Justice,38
689-Justice,39
675-Justice,40
633-Justice,41
729-Justice,42
648-Justice,43
744-Justice,44
643-Justice,45
738-Justice,46
704-Justice,47
641-Justice,48
680-Justice,49
743-Justice,50
701-Justice,51
736-Justice,52
681-Justice,53
678-Justice,54
671-Justice,55
693-Justice,56
636-Justice,57
728-Justice,58
682-Justice,59
679-Justice,60
742-Justice,61
662-Justice,62
700-Justice,63
667-Justice,64
717-Justice,65
732-Justice,66
718-Justice,67
719-Justice,68
694-Justice,69
705-Justice,70
735-Justice,71
665-Justice,72
670-Justice,73
639-Justice,74
663-Justice,75
698-Justice,76
706-Justice,77
649-Justice,78
737-Justice,79
650-Justice,80
658-Justice,81
661-Justice,82
690-Justice,83
688-Justice,84
727-Justice,85
722-Justice,86
699-Justice,87
733-Justice,88
708-Justice,89
696-Justice,90
707-Justice,91
668-Justice,92
640-Justice,93
664-Justice,94
627-Justice,95
657-Justice,96
720-Justice,97
725-Justice,98
644-Justice,99
739-Justice,100
673-Justice,101
731-Justice,102
697-Justice,103
730-Justice,104
724-Justice,105
646-Justice,106
691-Justice,107
714-Justice,108
