,rank
644-Morale,0
712-Morale,1
693-Morale,2
701-Morale,3
700-Morale,4
686-Morale,5
737-Morale,6
683-Morale,7
629-Morale,8
628-Morale,9
671-Morale,10
642-Morale,11
669-Morale,12
685-Morale,13
687-Morale,14
713-Morale,15
649-Morale,16
706-Morale,17
697-Morale,18
722-Morale,19
643-Morale,20
703-Morale,21
732-Morale,22
684-Morale,23
681-Morale,24
667-Morale,25
663-Morale,26
640-Morale,27
738-Morale,28
704-Morale,29
692-Morale,30
736-Morale,31
688-Morale,32
729-Morale,33
715-Morale,34
721-Morale,35
694-Morale,36
672-Morale,37
689-Morale,38
719-Morale,39
653-Morale,40
696-Morale,41
742-Morale,42
709-Morale,43
698-Morale,44
664-Morale,45
677-Morale,46
682-Morale,47
716-Morale,48
668-Morale,49
636-Morale,50
652-Morale,51
634-Morale,52
740-Morale,53
717-Morale,54
659-Morale,55
675-Morale,56
731-Morale,57
707-Morale,58
665-Morale,59
680-Morale,60
648-Morale,61
635-Morale,62
735-Morale,63
627-Morale,64
655-Morale,65
679-Morale,66
654-Morale,67
708-Morale,68
630-Morale,69
674-Morale,70
637-Morale,71
733-Morale,72
662-Morale,73
651-Morale,74
666-Morale,75
645-Morale,76
705-Morale,77
657-Morale,78
711-Morale,79
661-Morale,80
670-Morale,81
720-Morale,82
690-Morale,83
660-Morale,84
744-Morale,85
718-Morale,86
741-Morale,87
641-Morale,88
726-Morale,89
639-Morale,90
699-Morale,91
678-Morale,92
710-Morale,93
650-Morale,94
739-Morale,95
633-Morale,96
727-Morale,97
658-Morale,98
673-Morale,99
631-Morale,100
728-Morale,101
725-Morale,102
743-Morale,103
691-Morale,104
730-Morale,105
724-Morale,106
714-Morale,107
646-Morale,108
