,rank
680-Sagesse Pratique,0
681-Sagesse Pratique,1
628-Sagesse Pratique,2
643-Sagesse Pratique,3
635-Sagesse Pratique,4
732-Sagesse Pratique,5
672-Sagesse Pratique,6
651-Sagesse Pratique,7
700-Sagesse Pratique,8
659-Sagesse Pratique,9
652-Sagesse Pratique,10
703-Sagesse Pratique,11
660-Sagesse Pratique,12
653-Sagesse Pratique,13
658-Sagesse Pratique,14
737-Sagesse Pratique,15
715-Sagesse Pratique,16
692-Sagesse Pratique,17
642-Sagesse Pratique,18
662-Sagesse Pratique,19
677-Sagesse Pratique,20
679-Sagesse Pratique,21
696-Sagesse Pratique,22
683-Sagesse Pratique,23
744-Sagesse Pratique,24
655-Sagesse Pratique,25
629-Sagesse Pratique,26
630-Sagesse Pratique,27
721-Sagesse Pratique,28
685-Sagesse Pratique,29
728-Sagesse Pratique,30
640-Sagesse Pratique,31
654-Sagesse Pratique,32
669-Sagesse Pratique,33
693-Sagesse Pratique,34
671-Sagesse Pratique,35
736-Sagesse Pratique,36
689-Sagesse Pratique,37
726-Sagesse Pratique,38
727-Sagesse Pratique,39
712-Sagesse Pratique,40
666-Sagesse Pratique,41
717-Sagesse Pratique,42
720-Sagesse Pratique,43
705-Sagesse Pratique,44
687-Sagesse Pratique,45
733-Sagesse Pratique,46
716-Sagesse Pratique,47
690-Sagesse Pratique,48
740-Sagesse Pratique,49
738-Sagesse Pratique,50
701-Sagesse Pratique,51
674-Sagesse Pratique,52
742-Sagesse Pratique,53
711-Sagesse Pratique,54
637-Sagesse Pratique,55
694-Sagesse Pratique,56
709-Sagesse Pratique,57
710-Sagesse Pratique,58
704-Sagesse Pratique,59
644-Sagesse Pratique,60
667-Sagesse Pratique,61
670-Sagesse Pratique,62
648-Sagesse Pratique,63
665-Sagesse Pratique,64
675-Sagesse Pratique,65
641-Sagesse Pratique,66
731-Sagesse Pratique,67
663-Sagesse Pratique,68
627-Sagesse Pratique,69
633-Sagesse Pratique,70
741-Sagesse Pratique,71
664-Sagesse Pratique,72
636-Sagesse Pratique,73
686-Sagesse Pratique,74
730-Sagesse Pratique,75
639-Sagesse Pratique,76
713-Sagesse Pratique,77
725-Sagesse Pratique,78
678-Sagesse Pratique,79
722-Sagesse Pratique,80
708-Sagesse Pratique,81
718-Sagesse Pratique,82
649-Sagesse Pratique,83
698-Sagesse Pratique,84
707-Sagesse Pratique,85
735-Sagesse Pratique,86
645-Sagesse Pratique,87
699-Sagesse Pratique,88
682-Sagesse Pratique,89
743-Sagesse Pratique,90
661-Sagesse Pratique,91
634-Sagesse Pratique,92
684-Sagesse Pratique,93
650-Sagesse Pratique,94
719-Sagesse Pratique,95
657-Sagesse Pratique,96
688-Sagesse Pratique,97
631-Sagesse Pratique,98
739-Sagesse Pratique,99
668-Sagesse Pratique,100
673-Sagesse Pratique,101
697-Sagesse Pratique,102
706-Sagesse Pratique,103
724-Sagesse Pratique,104
714-Sagesse Pratique,105
691-Sagesse Pratique,106
646-Sagesse Pratique,107
