,rank
420-Symbole,0
920-Symbole,1
406-Symbole,2
929-Symbole,3
932-Symbole,4
11-Symbole,5
913-Symbole,6
424-Symbole,7
923-Symbole,8
914-Symbole,9
399-Symbole,10
431-Symbole,11
407-Symbole,12
408-Symbole,13
930-Symbole,14
435-Symbole,15
22-Symbole,16
405-Symbole,17
921-Symbole,18
912-Symbole,19
938-Symbole,20
940-Symbole,21
436-Symbole,22
410-Symbole,23
931-Symbole,24
417-Symbole,25
8-Symbole,26
924-Symbole,27
3-Symbole,28
427-Symbole,29
919-Symbole,30
9-Symbole,31
7-Symbole,32
400-Symbole,33
925-Symbole,34
401-Symbole,35
403-Symbole,36
922-Symbole,37
926-Symbole,38
404-Symbole,39
915-Symbole,40
927-Symbole,41
916-Symbole,42
12-Symbole,43
23-Symbole,44
21-Symbole,45
414-Symbole,46
15-Symbole,47
911-Symbole,48
432-Symbole,49
433-Symbole,50
939-Symbole,51
409-Symbole,52
943-Symbole,53
398-Symbole,54
411-Symbole,55
6-Symbole,56
412-Symbole,57
421-Symbole,58
10-Symbole,59
416-Symbole,60
415-Symbole,61
17-Symbole,62
429-Symbole,63
423-Symbole,64
441-Symbole,65
434-Symbole,66
402-Symbole,67
430-Symbole,68
426-Symbole,69
428-Symbole,70
16-Symbole,71
419-Symbole,72
20-Symbole,73
933-Symbole,74
928-Symbole,75
13-Symbole,76
440-Symbole,77
425-Symbole,78
437-Symbole,79
5-Symbole,80
917-Symbole,81
937-Symbole,82
443-Symbole,83
934-Symbole,84
418-Symbole,85
910-Symbole,86
2-Symbole,87
4-Symbole,88
918-Symbole,89
438-Symbole,90
442-Symbole,91
413-Symbole,92
935-Symbole,93
422-Symbole,94
397-Symbole,95
936-Symbole,96
941-Symbole,97
1-Symbole,98
944-Symbole,99
439-Symbole,100
14-Symbole,101
942-Symbole,102
19-Symbole,103
18-Symbole,104
