,n,mythe,symbole
0,1,0.0,0.0
1,2,0.0,0.0
2,3,0.3333333333333333,0.3333333333333333
3,4,0.25,0.25
4,5,0.2,0.4
5,6,0.3333333333333333,0.3333333333333333
6,7,0.42857142857142855,0.42857142857142855
7,8,0.5,0.5
8,9,0.5555555555555556,0.5555555555555556
9,10,0.6,0.5
10,11,0.5454545454545454,0.5454545454545454
11,12,0.5833333333333334,0.5
12,13,0.6153846153846154,0.46153846153846156
13,14,0.5714285714285714,0.5
14,15,0.6,0.5333333333333333
15,16,0.625,0.5625
16,17,0.5882352941176471,0.5294117647058824
17,18,0.5555555555555556,0.5
18,19,0.5789473684210527,0.47368421052631576
19,20,0.55,0.45
